,filename,cut_number,bbox_number,b0_Model,b1_Model,b2_Model,v,x0,t0,X_Data,t_data,x0_m,t0_ns,v_m/ns
0,UG3DQUERUNTERZUG.SGY,1,0,673362.0132694875,-2295.54154244768,1.9574439446809406,1.4295038476938033,586.3620127374448,18.78386790486223,"[     575.47      575.47      572.13      572.13      569.91      566.58      566.58      569.91      571.02      571.02      574.35      574.35      577.69      577.69      581.02      582.13      583.24       588.8      589.91      591.02      596.57      596.57       598.8       598.8      601.02      601.02
      606.57      606.57       609.9       609.9      606.57      604.35      604.35      603.24      603.24      602.13      602.13      601.02      601.02      599.91      599.91      596.57      596.57]","[     11.141      15.584      18.917      20.028       22.25       22.25      36.692      36.692      35.581       34.47      31.138      30.027      26.694      25.583       22.25       22.25      21.139      21.139       22.25       22.25      27.805      28.916      31.138      32.248       34.47      35.581
      41.136       45.58       45.58      30.027      30.027      27.805      26.694      25.583      24.472      23.361       22.25      21.139      20.028      18.917      17.806      14.473      11.141]",3.298801759423037,9.204095273382492,0.016412685182626407
1,UG3DQUERUNTERZUG.SGY,1,1,35976.0629825068,-496.32046303591267,1.729105875704106,1.5209649371821814,143.5193963567462,18.98042031408481,"[     133.31      133.31       132.2       132.2      128.87      128.87      126.65      126.65      124.43      124.43      121.09      117.76      117.76      121.09      126.65      126.65      127.76      127.76      128.87      128.87      131.09      131.09      133.31      133.31      138.87      139.98
      141.09      144.42      146.64      147.75      151.09      151.09      154.42      154.42      156.64      156.64      161.09      161.09      163.31      164.42      164.42      163.31      163.31       162.2       162.2      161.09      161.09      159.98      159.98      157.75      157.75      155.53
      155.53       152.2       152.2]","[     6.6969      11.141      12.252      13.363      16.695      17.806      20.028      21.139      23.361      24.472      27.805      27.805      44.469      44.469      38.914      37.803      36.692      35.581       34.47      33.359      31.138      30.027      27.805      26.694      21.139      21.139
      20.028      20.028       22.25       22.25      25.583      26.694      30.027      31.138      33.359       34.47      38.914      40.025      40.025      38.914      33.359      32.248      27.805      26.694      25.583      24.472      23.361       22.25      20.028      17.806      16.695      14.473
      13.363       10.03      6.6969]",0.8074227643136214,9.300405953901556,0.017462785237029554
2,UG3DQUERUNTERZUG.SGY,1,2,418817.98231318436,-1573.1408983924616,1.478531283878466,1.6448062085355386,531.9944581307122,19.15365269092736,"[     522.14      522.14      518.81      518.81      516.59      513.25      513.25      516.59      519.92      519.92      523.25      523.25      526.58       527.7      529.92      535.47       538.8      539.92      542.14      542.14      546.58      546.58       548.8       548.8      549.91      552.14
      552.14      556.58      556.58      553.25      551.03      551.03      549.91      549.91       548.8       548.8      547.69      547.69      546.58      546.58      544.36      544.36]","[     11.141      14.473      17.806      18.917      21.139      21.139       34.47       34.47      31.138      30.027      26.694      25.583       22.25       22.25      20.028      20.028      23.361      23.361      25.583      26.694      31.138      32.248       34.47      35.581      35.581      37.803
      38.914      38.914      30.027      30.027      27.805      26.694      25.583      24.472      23.361       22.25      21.139      20.028      18.917      17.806      15.584      11.141]",2.992936473309211,9.385289818554405,0.01888465465180446
3,UG3DQUERUNTERZUG.SGY,1,3,337321.22807701153,-1397.1792635309635,1.4484988686824583,1.6617700043007826,482.28524500051054,20.043861059679397,"[     469.93      469.93      466.59      466.59      464.37      464.37      462.15      462.15      458.82      455.48      455.48      458.82      464.37      464.37      466.59      466.59      469.93      469.93      473.26      474.37       477.7      478.81      479.92      483.26      484.37      485.48
      493.26      493.26      495.48      495.48      499.92      503.25      503.25      499.92      498.81      498.81       497.7       497.7      495.48      495.48      494.37      494.37      492.15      492.15]","[     11.141      15.584      18.917      20.028       22.25      23.361      25.583      26.694      30.027      30.027      43.358      43.358      37.803      36.692       34.47      33.359      30.027      28.916      25.583      25.583       22.25       22.25      21.139      21.139       22.25       22.25
      30.027      31.138      33.359       34.47      38.914      38.914      26.694      26.694      25.583      24.472      23.361       22.25      20.028      18.917      17.806      16.695      14.473      11.141]",2.713278452886135,9.821491919242904,0.019079422535673043
4,UG3DQUERUNTERZUG.SGY,1,4,1345641.3928194481,-4804.373712045128,4.3026080526945485,0.9641932855372639,558.3094780195403,66.91564187908456,"[     543.25      543.25      534.36      534.36      533.25      533.25      532.14      532.14      531.03      531.03      529.92      529.92      528.81      528.81      525.47      522.14      522.14      525.47      525.47      529.92      529.92      531.03      531.03      532.14      532.14      533.25
      533.25       538.8      539.92       548.8      549.91      551.03      552.14      553.25      555.47      556.58      563.25      564.36      566.58      567.69       568.8      569.91      571.02      579.91      581.02      583.24      583.24      584.35      584.35      585.46      586.58      586.58
      587.69      587.69       588.8       588.8      589.91      589.91       588.8       588.8      587.69      587.69      585.46      585.46      584.35      584.35      583.24      583.24      582.13      582.13      581.02      581.02       578.8      577.69      575.47      575.47      574.35      571.02
      571.02]","[     60.022      63.355      72.242      73.353      74.464      75.575      76.686      78.908      80.019       81.13      82.241      83.352      84.463      85.573      88.906      88.906      107.79      107.79      103.35      98.905      97.794      96.683      94.461       93.35      92.239      91.128
      90.017      84.463      84.463      75.575      75.575      74.464      74.464      73.353      73.353      72.242      72.242      73.353      73.353      74.464      74.464      75.575      75.575      84.463      84.463      86.684      88.906      90.017      91.128      91.128      92.239      94.461
      95.572      96.683      97.794      96.683      95.572      94.461       93.35      90.017      88.906      87.795      85.573      84.463      83.352       81.13      80.019      78.908      77.797      75.575      74.464      73.353      71.131      71.131      68.909      67.798      67.798      64.466
      60.022]",3.1409815922337008,32.78866452075143,0.011070275100172382
5,UG3DQUERUNTERZUG.SGY,1,5,346846.44743625395,-1626.1108217965752,1.9076573574812152,1.4480375024739796,426.2062092596174,17.80962771295834,"[     415.49      415.49      413.27      413.27      411.05      411.05      407.71      407.71      405.49      402.16      402.16      405.49       406.6       406.6      409.94      409.94      411.05      411.05      412.16      412.16      413.27      413.27      419.93      421.05      422.16      425.49
       426.6      428.82      437.71      437.71      439.93      439.93      441.04      441.04       446.6      449.93      449.93       446.6      445.49      445.49      444.38      444.38      443.26      443.26      442.15      442.15      441.04      441.04      438.82      438.82      435.49      435.49
      434.38      434.38]","[     6.6969       10.03      12.252      13.363      15.584      16.695      20.028      21.139      23.361      23.361      42.247      42.247      41.136      40.025      36.692      35.581       34.47      33.359      32.248      31.138      30.027      28.916       22.25       22.25      21.139      21.139
       22.25       22.25      31.138      32.248       34.47      35.581      36.692      37.803      43.358      43.358      31.138      31.138      30.027      28.916      27.805      26.694      25.583      24.472      23.361       22.25      21.139      20.028      17.806      16.695      13.363      12.252
      11.141      6.6969]",2.3977845809261176,8.726717579349586,0.016625477223502164
6,UG3DQUERUNTERZUG.SGY,1,6,1404288.650708711,-4583.919381140664,3.752161777444315,1.032497997748833,610.8371191104237,65.38039617126336,"[     596.57      596.57      595.46      594.35      589.91      589.91      584.35      584.35      583.24      583.24      582.13      582.13       578.8      575.47      575.47       578.8      579.91      579.91      581.02      581.02      582.13      582.13      583.24      583.24      584.35      584.35
      587.69      587.69      592.13      593.24      596.57       598.8      599.91      601.02      602.13      604.35      605.46      606.57      607.68      614.35      615.46      618.79      622.12      623.24      632.12      632.12      634.35      634.35      635.46      635.46      636.57      636.57
      637.68      638.79       639.9      641.01      641.01       639.9       639.9      638.79      638.79      637.68      637.68      636.57      636.57      632.12      632.12      627.68      626.57      624.35      624.35]","[     55.578      60.022      61.133      61.133      65.577      66.688      72.242      74.464      75.575      77.797      78.908      80.019      83.352      83.352      97.794      97.794      96.683      95.572      94.461       93.35      92.239      91.128      90.017      88.906      87.795      86.684
      83.352      82.241      77.797      77.797      74.464      74.464      73.353      73.353      72.242      72.242      71.131      71.131       70.02       70.02      71.131      71.131      74.464      74.464      83.352      84.463      86.684      87.795      88.906      90.017      91.128      92.239
       93.35      92.239      92.239      91.128      83.352      82.241      80.019      78.908      76.686      75.575      74.464      73.353      72.242      67.798      66.688      62.244      62.244      60.022      55.578]",3.4364957474566737,32.036394123919045,0.011854507853254493
7,UG3DQUERUNTERZUG.SGY,1,7,14973.072391312857,-326.5259191874244,1.8302896970943996,1.478325533804245,89.20061116712482,20.24639757092916,"[     78.877      78.877      77.766      77.766      75.544      75.544      72.211      68.878      68.878      72.211      74.433      74.433      76.655      76.655      78.877      78.877      85.542      87.764      88.875      91.097      92.208      93.319      99.984      99.984      102.21      102.21
      104.43      104.43      107.76      107.76      108.87       112.2       112.2      108.87      106.65      106.65      105.54      105.54      103.32      103.32       101.1       101.1]","[     11.141      14.473      15.584      16.695      18.917      20.028      23.361      23.361      38.914      38.914      36.692      35.581      33.359      32.248      30.027      28.916       22.25       22.25      21.139      21.139       22.25       22.25      28.916      30.027      32.248      33.359
      35.581      36.692      40.025      41.136      42.247      42.247      26.694      26.694      24.472      23.361       22.25      21.139      18.917      17.806      15.584      11.141]",0.5018318490414898,9.92073480975529,0.01697322579642636
8,UG3DQUERUNTERZUG.SGY,1,8,497189.5595009203,-1409.8601817000178,1.0002091006402918,1.9997909321463034,704.7827203319209,19.157568421458432,[     693.22      693.22      692.11      692.11      689.89      686.56      686.56      689.89         691         691      697.67      698.78      699.89         701      702.11      705.45      707.67      709.89      709.89],[     11.141      15.584      16.695      17.806      20.028      20.028      31.138      31.138      30.027      28.916       22.25       22.25      21.139      21.139      20.028      20.028       22.25       22.25      11.141],3.96502233660715,9.387208526514632,0.022960371217845558
9,UG3DQUERUNTERZUG.SGY,1,9,1884156.2185377888,-5551.232687471943,4.0963466253852445,0.9881699575787453,677.5833681982261,58.691971538906955,"[     668.78      668.78      666.56      665.45      662.12      661.01      655.45      655.45      651.01      651.01      648.79      648.79      647.68      647.68      646.57      646.57      644.34      644.34      643.23      643.23      642.12      642.12      641.01      637.68      637.68      641.01
      641.01      642.12      642.12      644.34      644.34      645.45      645.45      646.57      646.57      647.68      647.68      651.01      651.01      652.12      652.12      653.23      653.23      655.45      655.45      662.12      662.12      666.56      667.67      668.78       669.9      671.01
      674.34      675.45      677.67      678.78      683.23      684.34      685.45      686.56      687.67         691      692.11      698.78      698.78      699.89      702.11      702.11      703.22      703.22      704.33      704.33      705.45      705.45      707.67      707.67      709.89      709.89
      707.67      703.22      703.22      702.11      702.11         701         701      697.67      697.67      695.45      694.34      688.78      688.78]","[     46.691      50.023      52.245      52.245      55.578      55.578      61.133      62.244      66.688      67.798       70.02      71.131      72.242      73.353      74.464      75.575      77.797      78.908      80.019       81.13      82.241      83.352      84.463      84.463      107.79      107.79
      104.46      103.35      102.24      100.02      98.905      97.794      96.683      95.572      94.461       93.35      92.239      88.906      87.795      86.684      85.573      84.463      83.352       81.13      80.019      73.353      72.242      67.798      67.798      66.688      66.688      65.577
      65.577      64.466      64.466      65.577      65.577      66.688      66.688      67.798      67.798      71.131      71.131      77.797      78.908      78.908       81.13      82.241      83.352      84.463      85.573      87.795      88.906      90.017      92.239       93.35       93.35      75.575
      75.575      71.131      68.909      67.798      65.577      64.466      63.355      60.022      58.911      56.689      56.689      51.134      46.691]",3.8120020714386844,28.75906605406441,0.011345560522159022
